Date,Child,Total Animals Tested,Correctly Identified,Pronunciation Accuracy (%)
2023-12-01,Child 1,10,6,91.86
2023-12-01,Child 2,10,10,91.19
2023-12-01,Child 3,10,4,66.24
2023-12-01,Child 4,10,2,64.0
2023-12-01,Child 5,10,10,94.65
2023-12-01,Child 6,10,3,65.71
2023-12-01,Child 7,10,2,60.82
2023-12-01,Child 8,10,1,88.88
2023-12-01,Child 9,10,5,60.03
2023-12-01,Child 10,10,4,84.7
2023-12-02,Child 1,10,9,80.99
2023-12-02,Child 2,10,8,71.65
2023-12-02,Child 3,10,10,75.99
2023-12-02,Child 4,10,2,75.3
2023-12-02,Child 5,10,3,83.7
2023-12-02,Child 6,10,2,94.4
2023-12-02,Child 7,10,6,66.82
2023-12-02,Child 8,10,6,60.53
2023-12-02,Child 9,10,8,98.63
2023-12-02,Child 10,10,1,75.42
2023-12-03,Child 1,10,9,63.91
2023-12-03,Child 2,10,3,69.64
2023-12-03,Child 3,10,6,84.4
2023-12-03,Child 4,10,7,61.38
2023-12-03,Child 5,10,0,0.0
2023-12-03,Child 6,10,3,67.29
2023-12-03,Child 7,10,3,72.47
2023-12-03,Child 8,10,5,68.32
2023-12-03,Child 9,10,3,67.39
2023-12-03,Child 10,10,1,91.01
2023-12-04,Child 1,10,1,75.81
2023-12-04,Child 2,10,3,83.92
2023-12-04,Child 3,10,7,82.82
2023-12-04,Child 4,10,8,98.45
2023-12-04,Child 5,10,4,75.55
2023-12-04,Child 6,10,1,81.59
2023-12-04,Child 7,10,7,74.27
2023-12-04,Child 8,10,8,71.85
2023-12-04,Child 9,10,0,0.0
2023-12-04,Child 10,10,8,99.48
2023-12-05,Child 1,10,7,75.8
2023-12-05,Child 2,10,7,60.22
2023-12-05,Child 3,10,10,67.95
2023-12-05,Child 4,10,7,89.16
2023-12-05,Child 5,10,0,0.0
2023-12-05,Child 6,10,10,62.96
2023-12-05,Child 7,10,6,86.04
2023-12-05,Child 8,10,6,94.0
2023-12-05,Child 9,10,1,63.82
2023-12-05,Child 10,10,6,72.44
2023-12-06,Child 1,10,7,86.64
2023-12-06,Child 2,10,7,70.99
2023-12-06,Child 3,10,2,78.89
2023-12-06,Child 4,10,4,98.87
2023-12-06,Child 5,10,2,90.43
2023-12-06,Child 6,10,9,69.44
2023-12-06,Child 7,10,6,61.62
2023-12-06,Child 8,10,9,61.02
2023-12-06,Child 9,10,2,61.26
2023-12-06,Child 10,10,6,79.01
2023-12-07,Child 1,10,3,96.3
2023-12-07,Child 2,10,6,84.18
2023-12-07,Child 3,10,10,68.12
2023-12-07,Child 4,10,6,71.59
2023-12-07,Child 5,10,5,95.22
2023-12-07,Child 6,10,9,92.32
2023-12-07,Child 7,10,8,64.22
2023-12-07,Child 8,10,3,95.7
2023-12-07,Child 9,10,10,72.97
2023-12-07,Child 10,10,6,95.84
2023-12-08,Child 1,10,6,96.27
2023-12-08,Child 2,10,0,0.0
2023-12-08,Child 3,10,8,85.91
2023-12-08,Child 4,10,8,92.72
2023-12-08,Child 5,10,8,72.19
2023-12-08,Child 6,10,5,80.43
2023-12-08,Child 7,10,8,79.39
2023-12-08,Child 8,10,0,0.0
2023-12-08,Child 9,10,2,70.78
2023-12-08,Child 10,10,7,97.72
2023-12-09,Child 1,10,5,68.75
2023-12-09,Child 2,10,7,88.12
2023-12-09,Child 3,10,0,0.0
2023-12-09,Child 4,10,0,0.0
2023-12-09,Child 5,10,9,98.5
2023-12-09,Child 6,10,6,79.89
2023-12-09,Child 7,10,0,0.0
2023-12-09,Child 8,10,4,71.39
2023-12-09,Child 9,10,0,0.0
2023-12-09,Child 10,10,10,84.38
2023-12-10,Child 1,10,1,76.44
2023-12-10,Child 2,10,6,71.15
2023-12-10,Child 3,10,0,0.0
